source_node_id,target_node_id,relationship_type,evidence
193,5,herb_has_action,inferred
193,7,herb_has_action,inferred
194,1,herb_has_action,inferred
194,2,herb_has_action,inferred
194,3,herb_has_action,inferred
194,4,herb_has_action,inferred
195,1,herb_has_action,inferred
195,2,herb_has_action,inferred
195,4,herb_has_action,inferred
195,7,herb_has_action,inferred
195,8,herb_has_action,inferred
196,1,herb_has_action,inferred
196,3,herb_has_action,inferred
196,6,herb_has_action,inferred
196,8,herb_has_action,inferred
197,1,herb_has_action,inferred
197,2,herb_has_action,inferred
197,3,herb_has_action,inferred
197,7,herb_has_action,inferred
198,1,herb_has_action,inferred
198,3,herb_has_action,inferred
198,4,herb_has_action,inferred
198,8,herb_has_action,inferred
198,2,herb_has_action,prabhava
199,1,herb_has_action,inferred
199,4,herb_has_action,inferred
199,7,herb_has_action,inferred
200,1,herb_has_action,inferred
200,2,herb_has_action,inferred
200,3,herb_has_action,inferred
200,8,herb_has_action,inferred
201,1,herb_has_action,inferred
201,2,herb_has_action,inferred
201,3,herb_has_action,inferred
201,4,herb_has_action,inferred
202,1,herb_has_action,inferred
202,2,herb_has_action,inferred
202,4,herb_has_action,inferred
202,7,herb_has_action,inferred
202,8,herb_has_action,inferred
202,10,herb_has_action,prabhava
203,1,herb_has_action,inferred
203,4,herb_has_action,inferred
203,5,herb_has_action,inferred
203,7,herb_has_action,inferred
204,1,herb_has_action,inferred
204,2,herb_has_action,inferred
204,4,herb_has_action,inferred
204,5,herb_has_action,inferred
204,6,herb_has_action,inferred
204,7,herb_has_action,inferred
207,7,herb_has_action,inferred
208,1,herb_has_action,inferred
208,2,herb_has_action,inferred
208,4,herb_has_action,inferred
208,6,herb_has_action,inferred
209,2,herb_has_action,inferred
209,5,herb_has_action,inferred
209,7,herb_has_action,inferred
210,2,herb_has_action,inferred
210,5,herb_has_action,inferred
210,8,herb_has_action,inferred
211,1,herb_has_action,inferred
211,3,herb_has_action,inferred
212,1,herb_has_action,inferred
212,3,herb_has_action,inferred
212,4,herb_has_action,inferred
212,5,herb_has_action,inferred
212,6,herb_has_action,inferred
212,7,herb_has_action,inferred
213,3,herb_has_action,inferred
214,3,herb_has_action,inferred
214,6,herb_has_action,inferred
214,10,herb_has_action,prabhava
215,4,herb_has_action,inferred
216,1,herb_has_action,inferred
216,2,herb_has_action,inferred
216,3,herb_has_action,inferred
216,4,herb_has_action,inferred
216,7,herb_has_action,inferred
217,1,herb_has_action,inferred
217,3,herb_has_action,inferred
217,6,herb_has_action,inferred
218,1,herb_has_action,inferred
218,2,herb_has_action,inferred
218,3,herb_has_action,prabhava
219,5,herb_has_action,inferred
219,6,herb_has_action,inferred
219,7,herb_has_action,inferred
220,1,herb_has_action,inferred
220,4,herb_has_action,inferred
220,7,herb_has_action,inferred
220,8,herb_has_action,inferred
221,1,herb_has_action,inferred
221,3,herb_has_action,inferred
221,4,herb_has_action,inferred
221,5,herb_has_action,inferred
221,6,herb_has_action,inferred
221,2,herb_has_action,prabhava
222,2,herb_has_action,inferred
222,7,herb_has_action,inferred
223,1,herb_has_action,inferred
223,6,herb_has_action,inferred
224,1,herb_has_action,inferred
224,4,herb_has_action,inferred
224,5,herb_has_action,inferred
224,6,herb_has_action,inferred
224,7,herb_has_action,inferred
224,8,herb_has_action,inferred
224,10,herb_has_action,prabhava
225,1,herb_has_action,inferred
225,3,herb_has_action,inferred
225,8,herb_has_action,inferred
225,10,herb_has_action,prabhava
226,2,herb_has_action,inferred
226,3,herb_has_action,inferred
226,5,herb_has_action,inferred
227,1,herb_has_action,inferred
227,2,herb_has_action,inferred
227,4,herb_has_action,inferred
227,5,herb_has_action,inferred
228,3,herb_has_action,inferred
228,5,herb_has_action,inferred
229,2,herb_has_action,inferred
229,3,herb_has_action,inferred
